"pasture","year","totaldeer"
"control","2006",137
"control","2007",156
"control","2008",135
"control","2009",165
"control","2010",136
"control","2011",200
"control","2012",189
"control","2013",165
"control","2014",238
"control","2015",268
"control","2016",124
"control","2017",82
"control","2018",79
"control","2019",118
"control","2020",117
"control","2021",124
"treatment","2006",132
"treatment","2007",77
"treatment","2008",59
"treatment","2009",91
"treatment","2010",82
"treatment","2011",173
"treatment","2012",180
"treatment","2013",208
"treatment","2014",241
"treatment","2015",287
"treatment","2016",143
"treatment","2017",118
"treatment","2018",108
"treatment","2019",135
"treatment","2020",206
"treatment","2021",147
