"surv.year","site","sum.jun.jul.aug","sum.march.apr.may","sum.sept.oct","oct","annual"
"2001","ey",9,2.7,9.4,5.4,21.1
"2001","wy",6.8,3.2,8.5,3,18.5
"2002","ey",7.9,3.6,13,5.1,29.4
"2002","wy",9.3,6,11.2,6,30.5
"2003","ey",9.2,8.2,7.6,2.5,29.9
"2003","wy",8.9,10.9,6.8,0.2,30.2
"2004","ey",5.5,4.5,7.4,0.1,26.9
"2004","wy",6.6,3,7.2,4.1,23.4
"2005","ey",3.8,3.5,6.5,0,14.3
"2005","wy",2.6,3.4,5.6,5.7,12.5
"2006","ey",18,17.2,6.85,0,49.25
"2006","wy",13.25,13.7,5.3,5.8,38.85
"2007","ey",11.8,4.8,0.7,0.5,18.9
"2007","wy",13.2,5.6,1,3,21
"2008","ey",3.9,5.6,7.3,0,18.1
"2008","wy",4.1,5.6,8.4,1.5,19.4
"2009","ey",9.9,8.8,7.9,3.3,36.5
"2009","wy",9.7,8.6,7.4,2.4,33.2
"2010","ey",2.4,2.3,5.7,0,12.3
"2010","wy",2.5,1.5,5.7,0,11.1
"2011","ey",1.5,11,4.1,3.8,21.8
"2011","wy",1.5,8.6,3.5,6,18.5
"2012","ey",9.1,4.6,9.3,5.8,25.5
"2012","wy",12,7.8,10,5,31.9
"2013","ey",5.2,3.1,8.9,6.2,20.9
"2013","wy",7.7,2.9,6.7,2.4,21.9
"2014","ey",5.5,14.9,8.6,0.5,38.2
"2014","wy",4.4,12.4,5,0.3,29.2
"2015","ey",9.6,11.2,1.9,4.1,32.3
"2015","wy",4.5,7.9,1.3,0,17.8
"2016","ey",5.2,4.6,10.2,5.6,27.4
"2016","wy",5.6,4.6,10.81,0,27.11
"2017","ey",7,2.9,21.5,5.8,36.6
"2017","wy",4.8,2.3,17.7,0.9,29.8
"2018","ey",6.8,3.3,6.3,5.4,19.5
"2018","wy",4.7,3.4,3,0.3,13.8
"2019","ey",5.6,8.6,2.4,1,18.8
"2019","wy",7.8,5.7,4.6,4.8,20.6
"2020","ey",11.3,6.1,0.03,4.6,21.63
"2020","wy",10.1,6.2,0.3,0,22
"2021","ey",10.3,8.5,3.7,0,22.9
"2021","wy",7,7.8,4.5,2.7,19.8
