,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff,overlap0,f
int,2.681994594,0.2061994,2.29603305,2.539540815,2.677089541,2.817975008,3.101517473,1.004476452,461,0,1
age.beta[1],0,0,0,0,0,0,0,NA,1,0,1
age.beta[2],0.588732427,0.560712408,-0.479881201,0.200212344,0.582248599,0.964894213,1.699233523,1.008997276,248,1,0.8549
age.beta[3],-1.794181051,0.66936308,-3.096874795,-2.245777682,-1.794479783,-1.347106373,-0.474542834,1.006435452,338,0,0.9957
bs.beta[1],0,0,0,0,0,0,0,NA,1,0,1
bs.beta[2],0.585801822,0.266564667,0.065093286,0.407581507,0.586560498,0.760880901,1.117213006,1.007448505,286,0,0.986333333
age.bs.beta[1],0,0,0,0,0,0,0,NA,1,0,1
age.bs.beta[2],-0.915079436,0.33741885,-1.590869454,-1.138333297,-0.910014503,-0.684854819,-0.272042871,1.00913051,249,0,0.997716667
age.bs.beta[3],-0.520745208,0.413421047,-1.343431514,-0.796179637,-0.519749158,-0.241538308,0.283788622,1.006399062,331,1,0.898733333
"survival[1,1]",0.934850663,0.012442388,0.908547965,0.926867707,0.935661138,0.943639466,0.956955296,1.004853572,443,0,1
"survival[2,1]",0.912143225,0.015542362,0.879274502,0.902102535,0.913139758,0.923179513,0.939666366,1.001455105,1401,0,1
"survival[3,1]",0.58930965,0.061923986,0.46542082,0.547967556,0.590346726,0.63235141,0.706712311,1.000822849,2481,0,1
"survival[1,2]",0.962601669,0.007414949,0.94668764,0.957959139,0.963036945,0.967789982,0.975827832,1.001915582,1064,0,1
"survival[2,2]",0.882705782,0.014961457,0.852079747,0.873039671,0.883157765,0.892798202,0.910827515,1.000143576,12033,0,1
"survival[3,2]",0.60501496,0.055505413,0.493010711,0.568352208,0.606755043,0.643380201,0.70934662,1.00029549,6727,0,1
"surv_diff[1,1]",-0.022707437,0.018382613,-0.059134951,-0.034888198,-0.022588705,-0.01017645,0.012858086,1.005934017,361,1,0.893133333
"surv_diff[2,1]",-0.322833575,0.062060293,-0.445949022,-0.364499442,-0.321952673,-0.27994416,-0.203490401,1.00044107,5210,0,1
"surv_diff[1,2]",-0.079895887,0.015040447,-0.110660016,-0.089748698,-0.079525519,-0.069547723,-0.05180325,1.000827989,2396,0,1
"surv_diff[2,2]",-0.277690823,0.055169266,-0.389007223,-0.314552866,-0.276241323,-0.239691307,-0.173106735,1.000201745,9318,0,1
"site_diff[1,1]",-0.027751006,0.013365104,-0.055327562,-0.036383063,-0.027382255,-0.018585881,-0.002916253,1.007812993,276,0,0.986333333
"site_diff[2,1]",0.029437443,0.018599967,-0.007232112,0.017026943,0.029586065,0.042027446,0.065685527,1.001270339,1577,1,0.942866667
"site_diff[3,1]",-0.015705309,0.075267737,-0.162402387,-0.067083581,-0.015610163,0.035045408,0.132060734,1.00102165,1964,1,0.581133333
"site_diff[1,2]",-0.027751006,0.013365104,-0.055327562,-0.036383063,-0.027382255,-0.018585881,-0.002916253,1.007812993,276,0,0.986333333
"site_diff[2,2]",0.029437443,0.018599967,-0.007232112,0.017026943,0.029586065,0.042027446,0.065685527,1.001270339,1577,1,0.942866667
"site_diff[3,2]",-0.015705309,0.075267737,-0.162402387,-0.067083581,-0.015610163,0.035045408,0.132060734,1.00102165,1964,1,0.581133333
deviance,849.828745,31.76777566,789.882136,827.9285631,847.6281204,872.0597251,915.8372604,1.00003526,37140,0,1
