#  Dimmit County, Texas Average Temperature
# Units: Degrees Fahrenheit,
Date,Value
200001,58.5
200002,64.6
200003,70.8
200004,73.1
200005,82.9
200006,84.2
200007,88.7
200008,87.4
200009,82.8
200010,72.6
200011,59.1
200012,48.7
200101,50.9
200102,59.7
200103,58.8
200104,75
200105,80.3
200106,87.1
200107,88.2
200108,87.7
200109,80.3
200110,72.1
200111,65.4
200112,54.6
200201,56
200202,54
200203,63.5
200204,78
200205,82.1
200206,86.4
200207,83.1
200208,86.1
200209,78.8
200210,72.7
200211,58.2
200212,54.2
200301,52
200302,55.2
200303,63.2
200304,72.7
200305,83.2
200306,84.3
200307,83.2
200308,85.8
200309,78.2
200310,71
200311,63.2
200312,54.4
200401,55
200402,54.8
200403,67.4
200404,68.6
200405,76.4
200406,82.8
200407,83.8
200408,84.3
200409,80
200410,77.8
200411,63
200412,53.8
200501,57.7
200502,58.4
200503,64.5
200504,70.7
200505,78.2
200506,85.5
200507,87.6
200508,87.1
200509,85.8
200510,72.8
200511,64.8
200512,53.7
200601,58.4
200602,58.1
200603,71
200604,78.8
200605,82.1
200606,86.2
200607,86.6
200608,89
200609,81.2
200610,73.9
200611,65.8
200612,53.8
200701,50
200702,57.8
200703,68.2
200704,69.2
200705,77.1
200706,81
200707,80.9
200708,84
200709,81
200710,73.8
200711,65.1
200712,57.4
200801,53.2
200802,63
200803,67
200804,73.9
200805,81.3
200806,87.6
200807,83.7
200808,85.2
200809,79.2
200810,72.1
200811,63.2
200812,55.7
200901,56.6
200902,62.3
200903,67.6
200904,73.8
200905,82.5
200906,87.1
200907,90
200908,89
200909,80.2
200910,73
200911,62.1
200912,49.3
201001,51.4
201002,52.1
201003,61.5
201004,70.8
201005,79.4
201006,85.8
201007,84.3
201008,87.7
201009,81.4
201010,71.8
201011,63.9
201012,55
201101,52.6
201102,58
201103,71
201104,78.7
201105,81.7
201106,87.2
201107,88.7
201108,90.2
201109,84.6
201110,73
201111,63.5
201112,53.8
201201,55.9
201202,58.7
201203,69.7
201204,76.4
201205,80.2
201206,86.6
201207,86.7
201208,88.2
201209,81.8
201210,74.3
201211,65.8
201212,58.4
201301,56.3
201302,61.4
201303,66.5
201304,71.5
201305,79.2
201306,85.1
201307,85.5
201308,87.3
201309,81.7
201310,74
201311,60.2
201312,52.1
201401,50
201402,57.2
201403,62.3
201404,72.5
201405,77
201406,85.4
201407,86
201408,87.9
201409,81.8
201410,75.9
201411,57.7
201412,58
201501,50.2
201502,56.4
201503,61.8
201504,72.7
201505,77.6
201506,81.4
201507,85.9
201508,87.1
201509,83.8
201510,76.9
201511,64.3
201512,57.1
201601,52.6
201602,62
201603,68.6
201604,72.8
201605,77.8
201606,83.6
201607,89.3
201608,85.9
201609,82.8
201610,76.3
201611,68.4
201612,57.8
201701,59.5
201702,66
201703,70.6
201704,74.1
201705,78.5
201706,84.6
201707,88
201708,86.7
201709,81.9
201710,71.2
201711,65.7
201712,54.1
201801,49.5
201802,61.8
201803,70.1
201804,70.8
201805,82.5
201806,88.1
201807,87.9
201808,86.9
201809,80.6
201810,71.2
201811,59.3
201812,55.7
201901,53.1
201902,59.7
201903,65
201904,69.8
201905,80.5
201906,85.8
201907,87.6
201908,90.3
201909,86.4
201910,74.4
201911,59.9
201912,57
202001,58.4
202002,58.2
202003,72.2
202004,72.7
202005,81
202006,84.2
202007,88.8
202008,88.1
202009,79.1
202010,73.5
202011,68.2
202012,55.2
202101,54
202102,53.5
202103,67.4
202104,72.8
202105,79.1
202106,84.2
202107,83.8
202108,85.2
202109,82.5
202110,76.6
202111,64
202112,65.3
202201,52.3
202202,54
202203,64
202204,76.6
202205,85
202206,88.4
202207,90.1
202208,86.5
202209,80.8
202210,71.7
202211,60.7
202212,56.5
202301,59
202302,60.4
202303,70.6
202304,72.6
202305,79.1
202306,88.6
202307,90
202308,89.9
202309,86.5
202310,74.8
202311,61.2
202312,58.3
202401,50.5
202402,64.2
202403,69.1
202404,76.6
202405,84.6
202406,86.9
202407,86.4
202408,89.5
202409,81.8
202410,77.5
202411,68.6
202412,61.2
202501,49.5
202502,60.3
202503,70.6
202504,76.5
202505,82.8
202506,86.1
